"Engine"	"Train size"	"ROC AUC"	"Log loss"	"Train time"
"lr"	10000	0.577664202812	0.191408441626	50.9623498917
"lr"	30000	0.593790859746	0.181353099861	87.1837468147
"lr"	100000	0.612247160316	0.169781474994	148.152549982
"lr"	300000	0.644818188231	0.155259096662	138.703317881
"lr"	1000000	0.684101056031	0.142522071064	154.500109911
"lr"	3000000	0.720519424179	0.135748217546	140.207423925
"lr"	10000000	0.742150224051	0.133061793307	175.111939907
"lr"	30000000	0.750851634783	0.132163191494	205.059295177
"lr"	100000000	0.754105416714	0.131909898252	429.173339128
"lr"	300000000	0.755291615978	0.131809908334	655.645493984
"lr"	1000000000	0.755555957222	0.131795697268	5133.28028798
"lr"	3000000000	0.755575083657	0.131792462522	5726.66465712
"rf"	10000	0.666209405818	0.141072504942	162.25733614
"rf"	30000	0.686325476035	0.139292662004	123.259371996
"rf"	100000	0.698154160624	0.138366116883	67.557528019
"rf"	300000	0.704939649921	0.137753153698	78.4612021446
"rf"	1000000	0.7072363872	0.137494568389	105.36420989
"rf"	3000000	0.707892500228	0.13742745787	154.24793601
"rf"	10000000	0.708613003835	0.13734362384	518.322438955
"rf"	30000000	0.708447321414	0.137352474673	665.707078934
"rf"	100000000	0.708270614391	0.137371388594	1821.9798851
"rf"	300000000	0.708382095174	0.137347952598	3362.20391607
